test_name,library,max,mean,median,min,stddev,warmup,iterations,utf8Validation,checkKeys,ignoreUndefined
string_singleFieldDocument._deserialize,bson@6.2.0,19.673269790698704,18.311045647749864,19.085478600558062,0.11637992636014631,2.6408331253806017,1000,1000,1,-,-
string_singleFieldDocument._deserialize,bson@6.2.0,19.456739414892454,18.044740879240884,18.888044012999977,0.1231406886700118,2.7029835124462416,1000,1000,0,-,-
string_singleElementArray._deserialize,bson@6.2.0,15.174108726434328,13.369170849467269,14.610752744664145,0.6312477974549877,2.4392697072942977,1000,1000,1,-,-
string_singleElementArray._deserialize,bson@6.2.0,14.727233397130563,12.95654327314137,14.19264269815625,0.5350408967100069,2.377564558549186,1000,1000,0,-,-
string_array_1000._deserialize,bson@6.2.0,101.34029171306857,98.49172078548405,99.2879159596589,68.60310936576572,5.396872277338959,1000,1000,1,-,-
string_array_1000._deserialize,bson@6.2.0,162.1074620086447,155.423299351852,158.2612019023795,85.84088542672788,11.446000317615615,1000,1000,0,-,-
string_array_10._deserialize,bson@6.2.0,67.25784079949909,56.56337506616173,61.61273412385378,2.1520021366078694,10.909032088146587,1000,1000,1,-,-
string_array_10._deserialize,bson@6.2.0,106.50280368007313,79.71308242520212,78.18588543554677,2.4351572612793397,24.257271602826453,1000,1000,0,-,-
string_array_100._deserialize,bson@6.2.0,99.87777956965421,97.76509289357197,99.15667274763345,21.025410210470877,6.311199156567873,1000,1000,1,-,-
string_array_100._deserialize,bson@6.2.0,159.8317524414271,154.8504571000198,157.60196353791963,21.44072163747583,11.29762571468748,1000,1000,0,-,-
string_singleFieldDocument._serialize,bson@6.2.0,15.84448410548824,14.159656521319285,14.661106567052764,0.10412860155458811,2.048832162401723,1000,1000,-,1,0
string_singleElementArray._serialize,bson@6.2.0,15.545431672324879,12.695110239272987,12.257620495347336,0.41284276611584536,2.2784490596440676,1000,1000,-,1,0
string_array_1000._serialize,bson@6.2.0,133.73979910087056,131.61127319341716,133.2011202247569,58.676345451117726,3.351455333913218,1000,1000,-,1,0
string_array_10._serialize,bson@6.2.0,85.13241510346708,61.45511182384285,60.647061107770824,1.1374858479671137,11.788849542451386,1000,1000,-,1,0
string_array_100._serialize,bson@6.2.0,126.70231420702741,120.09300748824643,123.49972515486688,9.013315018020618,8.636237518436646,1000,1000,-,1,0
string_singleFieldDocument._deserialize,bson@5.5.1,19.39266439849952,18.327858976194005,18.962561801586624,0.3003411623558404,2.2796429230646194,1000,1000,1,-,-
string_singleFieldDocument._deserialize,bson@5.5.1,19.413834505043447,18.038631783951434,18.834433670119253,0.12893306806033109,2.5728732240891743,1000,1000,0,-,-
string_singleElementArray._deserialize,bson@5.5.1,14.802212586239316,13.233264580151921,14.329261365704765,0.7079275657709289,2.223930921875907,1000,1000,1,-,-
string_singleElementArray._deserialize,bson@5.5.1,14.936260659529907,13.259992116780358,14.494509235621422,0.7293682738645872,2.387119662237926,1000,1000,0,-,-
string_array_1000._deserialize,bson@5.5.1,102.01920509812469,99.01740484798258,99.8843102776052,62.54167143551537,5.441394966261708,1000,1000,1,-,-
string_array_1000._deserialize,bson@5.5.1,162.2054822466965,155.0475028276012,157.81974880696458,83.83310788460872,11.866204837142181,1000,1000,0,-,-
string_array_10._deserialize,bson@5.5.1,74.70818682539539,60.166954372902914,59.59140342136767,3.2463258262342247,13.969858671262118,1000,1000,1,-,-
string_array_10._deserialize,bson@5.5.1,104.87089499175859,78.88887929274681,75.53859715360588,2.3885775365921313,23.641883301577135,1000,1000,0,-,-
string_array_100._deserialize,bson@5.5.1,99.0324618169363,96.78613999439156,98.34421388413205,18.406727591085776,6.8077331258532885,1000,1000,1,-,-
string_array_100._deserialize,bson@5.5.1,160.19203496004386,154.10362190886667,156.91103902383736,20.162103355097525,12.208073655408647,1000,1000,0,-,-
string_singleFieldDocument._serialize,bson@5.5.1,15.397938404259925,13.946463163536187,14.48479259790187,0.08109791087198231,2.0161139637697505,1000,1000,-,1,0
string_singleElementArray._serialize,bson@5.5.1,15.868792656453513,13.058237541280638,12.541099767782415,0.13867543860718884,2.4193767515979476,1000,1000,-,1,0
string_array_1000._serialize,bson@5.5.1,134.374336047302,132.1889568638892,133.84974647371774,59.304056562705604,3.4396299536660613,1000,1000,-,1,0
string_array_10._serialize,bson@5.5.1,83.09474163895558,60.526966127277596,58.98539114559562,1.0613928433594386,12.116331662595929,1000,1000,-,1,0
string_array_100._serialize,bson@5.5.1,124.4542031165487,114.41775363415886,116.40688158729921,51.342993980864975,7.499154948938797,1000,1000,-,1,0
string_singleFieldDocument._deserialize,bson@4.7.2,22.795714820416848,21.119885705663084,22.240931665832914,0.7282922891439954,3.3012238866309427,1000,1000,1,-,-
string_singleFieldDocument._deserialize,bson@4.7.2,22.240931665832914,20.381245291439228,21.668066574067307,0.7585189714525055,3.432416963713452,1000,1000,0,-,-
string_singleElementArray._deserialize,bson@4.7.2,16.107817360509955,14.117300473475202,15.511796926959306,0.16738421278682292,2.7385963382871465,1000,1000,1,-,-
string_singleElementArray._deserialize,bson@4.7.2,16.163276466035978,14.0946397754295,15.482170507923302,0.15461787917263187,2.703665662356304,1000,1000,0,-,-
string_array_1000._deserialize,bson@4.7.2,102.78427967208312,99.93260298789063,100.79459105773209,67.40433386839224,5.5272776054455655,1000,1000,1,-,-
string_array_1000._deserialize,bson@4.7.2,171.84525021872346,164.34993141929036,167.64649988994086,93.6795470584431,12.284311264351382,1000,1000,0,-,-
string_array_10._deserialize,bson@4.7.2,79.35001163699856,66.75497268486741,77.46098269232814,0.6409398189767194,15.226875878199843,1000,1000,1,-,-
string_array_10._deserialize,bson@4.7.2,114.06697541769236,86.51233060926141,82.70455192035888,1.4059042683738883,25.109653775110143,1000,1000,0,-,-
string_array_100._deserialize,bson@4.7.2,100.02448978976405,97.38125729252451,98.65985501591885,17.700423215552778,6.39955472012719,1000,1000,1,-,-
string_array_100._deserialize,bson@4.7.2,166.45154707298812,160.8473955147433,163.88405022833825,21.19482922650138,12.235544777025751,1000,1000,0,-,-
string_singleFieldDocument._serialize,bson@4.7.2,18.23180439395959,16.537042600430187,17.451399793925713,0.50447372368539,2.691123540343843,1000,1000,-,1,0
string_singleElementArray._serialize,bson@4.7.2,16.08642281061624,13.52351688460503,13.965178499788491,0.7525755461707198,2.150601841257413,1000,1000,-,1,0
string_array_1000._serialize,bson@4.7.2,143.98986849289622,139.7104878047534,140.6867590845775,32.486986179050206,6.821187671831135,1000,1000,-,1,0
