test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteValues,index,checkKeys,ignoreUndefined
boolean_singleFieldDocument._deserialize,bson@6.2.0,4.147472127230028,3.84048625478732,3.969138289698984,0.02269643827598395,0.5084047670760782,1000,1000,1,0,-,-
boolean_singleFieldDocument._deserialize,bson@6.2.0,4.188021967049426,3.8889704881725544,4.041296041538421,0.02165820077580552,0.5255822113216999,1000,1000,0,0,-,-
boolean_singleElementArray._deserialize,bson@6.2.0,4.760566368727206,4.184314413165533,4.592131124313706,0.8486855836983431,0.7923721776101864,1000,1000,1,0,-,-
boolean_singleElementArray._deserialize,bson@6.2.0,4.6524316847187785,4.016760187791658,4.415569485621396,0.7622298026094254,0.7345298291253074,1000,1000,0,0,-,-
boolean_array_1000._deserialize,bson@6.2.0,53.514770556473415,50.833852685995694,51.70314778789452,17.492495490117893,3.9569946378237844,1000,1000,1,0,-,-
boolean_array_1000._deserialize,bson@6.2.0,53.491011257936016,51.06693713298724,51.974242743481604,17.37530715695223,3.9287935362819497,1000,1000,0,0,-,-
boolean_array_100._deserialize,bson@6.2.0,44.79077134728887,40.774263036666866,42.53154817901368,1.9942352855269567,4.340154284099876,1000,1000,1,0,-,-
boolean_array_100._deserialize,bson@6.2.0,45.083779542534465,40.97644379058173,42.719453399287325,1.7904051816253765,4.353010515923602,1000,1000,0,0,-,-
boolean_array_10._deserialize,bson@6.2.0,18.847607952859384,10.023764547171941,9.511809077586298,0.2451705980826515,3.273570863998331,1000,1000,1,0,-,-
boolean_array_10._deserialize,bson@6.2.0,19.154342140126015,10.692904793633119,9.252783017689906,0.46251449817374923,4.08152691618098,1000,1000,0,0,-,-
boolean_singleFieldDocument._deserialize,bson@6.2.0,4.070548032727224,3.7900751187845456,3.9130532944606418,0.0234212147936138,0.49452555386609787,1000,1000,-,-,1,0
boolean_singleElementArray._deserialize,bson@6.2.0,4.864080768804413,4.29023786021738,4.687721197041485,0.7551191920689532,0.783701640138215,1000,1000,-,-,1,0
