test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteValues,index,evalFunctions,cacheFunctions,allowObjectSmallerThanBufferSize,checkKeys,ignoreUndefined
int32_singleFieldDocument._deserialize,bson@6.2.0,5.529962836306703,5.086346635855681,5.249339148002539,0.030783044742818927,0.6449331725204659,1000,1000,1,0,0,0,0,-,-
int32_singleFieldDocument._deserialize,bson@6.2.0,4.381141427110308,3.8946517327744044,3.9577855290053225,0.14585057542876434,0.5403267030023363,1000,1000,0,0,0,0,0,-,-
int32_singleFieldDocument._serialize,bson@6.2.0,3.7383082722124223,3.45801182523814,3.57675491005996,0.02734406968081747,0.4549759495874116,1000,1000,-,-,-,-,-,1,0
int32_singleElementArray._deserialize,bson@6.2.0,5.6433364447471766,4.907720723060889,5.367678525723061,0.9730942921275324,0.9168536294387755,1000,1000,1,0,0,0,0,-,-
int32_singleElementArray._deserialize,bson@6.2.0,5.207000512096336,4.582242325919468,5.024491348622218,1.0564681472059243,0.8439974100003774,1000,1000,0,0,0,0,0,-,-
int32_singleElementArray._serialize,bson@6.2.0,4.60615152305517,4.185239910061176,4.344993816809215,0.3095161761952157,0.551546732487295,1000,1000,-,-,-,-,-,1,0
int32_array_100._deserialize,bson@6.2.0,71.34609338152546,65.08126763437585,68.01336565038727,3.438339290914376,6.936777048781523,1000,1000,1,0,0,0,0,-,-
int32_array_100._deserialize,bson@6.2.0,68.92706204257256,64.70941817402901,66.05243630463332,4.096353704264529,6.013200912870804,1000,1000,0,0,0,0,0,-,-
int32_array_100._serialize,bson@6.2.0,31.875170229881796,30.51171020470324,31.30359440876537,1.4692078845424432,2.3585774883644435,1000,1000,-,-,-,-,-,1,0
int32_array_10._deserialize,bson@6.2.0,30.480993072048506,15.643594913808947,14.157808352770665,0.393158140177695,5.9193711280575325,1000,1000,1,0,0,0,0,-,-
int32_array_10._deserialize,bson@6.2.0,30.525761560804515,15.714751388933273,13.659179298204698,0.32123978337158193,7.006965187231707,1000,1000,0,0,0,0,0,-,-
int32_array_10._serialize,bson@6.2.0,16.566837128512624,11.248819683729199,11.875801050692502,0.16384186990085894,1.5754583401487,1000,1000,-,-,-,-,-,1,0
int32_array_1000._deserialize,bson@6.2.0,78.68038660162273,74.739090333263,76.11060349213568,26.421298644455693,5.958486239857895,1000,1000,1,0,0,0,0,-,-
int32_array_1000._deserialize,bson@6.2.0,77.6117582143963,72.31828939935546,74.47902575680081,27.177678103270136,7.931318654937595,1000,1000,0,0,0,0,0,-,-
int32_array_1000._serialize,bson@6.2.0,38.002833797404456,37.165980197347956,37.38831545684573,27.08268850771888,0.887309395248145,1000,1000,-,-,-,-,-,1,0
int32_singleFieldDocument._deserialize,bson@5.5.1,5.474475996247502,5.0902633208183286,5.28395448998071,0.16964968722600413,0.6876207785650005,1000,1000,1,0,0,0,0,-,-
int32_singleFieldDocument._deserialize,bson@5.5.1,4.761914259020542,4.430510558361726,4.5941899502532975,0.030788098278594567,0.6005588628758186,1000,1000,0,0,0,0,0,-,-
int32_singleFieldDocument._serialize,bson@5.5.1,3.7244078733165606,3.440772021817209,3.5639963886774417,0.08093287317970312,0.44000242343093937,1000,1000,-,-,-,-,-,1,0
int32_singleElementArray._deserialize,bson@5.5.1,5.64015867679688,4.919768388952635,5.389361151934212,0.9916696565522826,0.9363452444021539,1000,1000,1,0,0,0,0,-,-
int32_singleElementArray._deserialize,bson@5.5.1,5.316311553330376,4.62439470801167,5.082599432805501,0.8715731180533369,0.8706184304772975,1000,1000,0,0,0,0,0,-,-
int32_singleElementArray._serialize,bson@5.5.1,4.552716615559958,4.143692874892896,4.292769398068189,0.037256713594672516,0.5693032286356087,1000,1000,-,-,-,-,-,1,0
int32_array_100._deserialize,bson@5.5.1,71.38408626216705,65.05215266611718,68.04505549831303,3.2205410328337494,7.299615955495572,1000,1000,1,0,0,0,0,-,-
int32_array_100._deserialize,bson@5.5.1,68.73820776921448,64.60301478014274,65.89251938346246,3.231141236856502,5.794702819746147,1000,1000,0,0,0,0,0,-,-
int32_array_100._serialize,bson@5.5.1,31.66405257244929,30.234513715002297,31.027809997593245,1.5121100531922567,2.391404912682688,1000,1000,-,-,-,-,-,1,0
int32_array_10._deserialize,bson@5.5.1,30.958746273302285,15.616371589269542,14.189257887121222,0.36127797612986207,6.170954692099021,1000,1000,1,0,0,0,0,-,-
int32_array_10._deserialize,bson@5.5.1,30.79749923697888,16.13381936014289,13.624398798516735,0.32014319516723666,7.352175353487368,1000,1000,0,0,0,0,0,-,-
int32_array_10._serialize,bson@5.5.1,12.351178592019016,11.24712366507514,11.857144068698616,1.041522586310255,1.5293169267551714,1000,1000,-,-,-,-,-,1,0
int32_array_1000._deserialize,bson@5.5.1,78.73953221931878,74.92683553089263,76.2507493816946,26.500413612994127,5.883149805924423,1000,1000,1,0,0,0,0,-,-
int32_array_1000._deserialize,bson@5.5.1,77.58335805199577,72.51352691005852,74.55105760974138,27.45416218457616,7.776549777599309,1000,1000,0,0,0,0,0,-,-
int32_array_1000._serialize,bson@5.5.1,38.03384297140922,37.158852197257765,37.42706315360296,27.641084174466084,0.8714110789755519,1000,1000,-,-,-,-,-,1,0
int32_singleFieldDocument._deserialize,bson@4.7.2,6.0030292061125605,5.518427352447267,5.777526925229219,0.16250470539520234,0.837717012984928,1000,1000,1,0,0,0,0,-,-
int32_singleFieldDocument._deserialize,bson@4.7.2,5.578768344047883,5.108454494678322,5.3619887607531895,0.16649782725464973,0.7972155023896492,1000,1000,0,0,0,0,0,-,-
int32_singleFieldDocument._serialize,bson@4.7.2,4.950491590439658,4.45710937036821,4.704002243043062,0.14857919487059895,0.7275702761930485,1000,1000,-,-,-,-,-,1,0
int32_singleElementArray._deserialize,bson@4.7.2,5.973728324728503,5.177159384311999,5.7208381497962595,0.05787824474244306,1.033086687893887,1000,1000,1,0,0,0,0,-,-
int32_singleElementArray._deserialize,bson@4.7.2,5.595949434641939,4.855552075953046,5.33758035139069,0.058117399133515615,0.938252447998894,1000,1000,0,0,0,0,0,-,-
int32_singleElementArray._serialize,bson@4.7.2,5.37925245481143,4.773481896687378,4.964022176182348,0.21222187190385944,0.7047634340229286,1000,1000,-,-,-,-,-,1,0
int32_array_100._deserialize,bson@4.7.2,68.5854585293339,62.491471605754555,65.21297748269913,3.8361768283845272,6.607970674189111,1000,1000,1,0,0,0,0,-,-
int32_array_100._deserialize,bson@4.7.2,68.49201024931874,64.05679771867918,65.22094900779915,3.6449300836025005,5.267181805599488,1000,1000,0,0,0,0,0,-,-
int32_array_100._serialize,bson@4.7.2,39.924444191559985,38.05835367827444,39.32321642797569,21.78987850522463,2.7378115737168973,1000,1000,-,-,-,-,-,1,0
int32_array_10._deserialize,bson@4.7.2,31.01632501781896,17.56685858891955,14.312823673309968,0.5233918687788885,7.660929664479484,1000,1000,1,0,0,0,0,-,-
