test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteBuffers,checkKeys,ignoreUndefined
binary_singleFieldDocument._deserialize,bson@6.2.0,15.568485988972451,14.29607488122072,14.966915375199685,0.2966315088308508,2.0924786625128937,1000,1000,1,-,-
binary_singleFieldDocument._deserialize,bson@6.2.0,12.624823477941305,11.146532356571392,11.7550681592283,0.09807164112715867,1.7602092691477143,1000,1000,0,-,-
binary_singleFieldDocument._serialize,bson@6.2.0,11.445302195710115,10.505492753576085,10.917914383592134,0.09827156270684091,1.436029801228366,1000,1000,-,1,0
binary_singleElementArray._deserialize,bson@6.2.0,11.813798942383366,10.28252286676265,11.314483656590678,1.4023312409653956,1.8705500845410208,1000,1000,1,-,-
binary_singleElementArray._deserialize,bson@6.2.0,11.094243930268593,9.645880743917099,10.629439805210131,2.2902823003519854,1.720082878835274,1000,1000,0,-,-
binary_singleElementArray._serialize,bson@6.2.0,9.232424439588897,7.857059726528366,8.106816643059155,0.4630386541088255,1.1533126502103161,1000,1000,-,1,0
binary_array_100._deserialize,bson@6.2.0,138.22778583619277,131.48785134754837,135.19223581468026,14.063799856959683,13.114276944826916,1000,1000,1,-,-
binary_array_100._deserialize,bson@6.2.0,125.72885582788514,120.06792891900245,123.35845451954935,16.200263717928785,11.570436882634944,1000,1000,0,-,-
binary_array_100._serialize,bson@6.2.0,118.6899341456076,111.90081066374782,115.5006966929823,6.7739012104403455,9.523601079562,1000,1000,-,1,0
binary_small._deserialize,bson@6.2.0,370.4928340041313,340.12339235351624,356.3551880709516,2.4347122652774127,51.19848081680871,1000,1000,1,-,-
binary_small._deserialize,bson@6.2.0,340.00005847118945,307.19046392923076,325.18056150647163,2.711118132582422,49.4649338829234,1000,1000,0,-,-
binary_small._serialize,bson@6.2.0,229.93270370248,187.8676363353717,209.43119773868574,2.133481491700495,44.25466546419645,1000,1000,-,1,0
binary_medium._deserialize,bson@6.2.0,373293.81249215425,325768.19504646613,359045.1530319578,7080.994113082391,68354.9811831628,1000,1000,1,-,-
binary_medium._deserialize,bson@6.2.0,341895.50481919333,295516.9497288316,325246.19654875714,6504.895068167826,60495.54519081118,1000,1000,0,-,-
binary_medium._serialize,bson@6.2.0,4635.0774848548,3411.208488524667,3383.16163835716,1890.269146376342,350.7362987665997,1000,1000,-,1,0
binary_array_10._deserialize,bson@6.2.0,86.5832700340768,65.70262400814536,80.31898707297901,1.7876720753217077,22.356060673079128,1000,1000,1,-,-
binary_array_10._deserialize,bson@6.2.0,80.46675479619235,64.84193797915424,76.28103825925422,1.7057808265143148,17.57504065182724,1000,1000,0,-,-
binary_array_10._serialize,bson@6.2.0,72.50923364033761,49.316221974867574,49.97478470727369,0.8236576104601565,15.801529247099445,1000,1000,-,1,0
binary_array_1000._deserialize,bson@6.2.0,147.32127679991302,140.30179854066927,143.61914387764824,66.30057290160035,12.549469300831811,1000,1000,1,-,-
binary_array_1000._deserialize,bson@6.2.0,133.95078650330194,127.32091305369438,131.4633340026562,37.081022850072806,11.86112263060749,1000,1000,0,-,-
binary_array_1000._serialize,bson@6.2.0,131.57235312211554,128.87921211739237,130.6170917482778,49.49755777320407,3.8110322417319353,1000,1000,-,1,0
binary_singleFieldDocument._deserialize,bson@5.5.1,15.357209809264305,13.724509441071548,14.695870605011203,0.29826519387725997,2.100798234376509,1000,1000,1,-,-
binary_singleFieldDocument._deserialize,bson@5.5.1,11.87845732585805,10.593490268821144,11.088197227260153,0.09475101344877554,1.6012763416775255,1000,1000,0,-,-
binary_singleFieldDocument._serialize,bson@5.5.1,11.134060067290182,10.282045969755098,10.691192507187528,0.09279881245558125,1.4216851496865188,1000,1000,-,1,0
binary_singleElementArray._deserialize,bson@5.5.1,12.000028273705173,10.512802939843779,11.593539774805903,2.2208673768143026,1.9088081334740312,1000,1000,1,-,-
binary_singleElementArray._deserialize,bson@5.5.1,11.34595285989909,9.90870660711102,10.940718358985515,2.430423873678111,1.8285468377720628,1000,1000,0,-,-
binary_singleElementArray._serialize,bson@5.5.1,9.007427070558203,7.7932048571673755,8.057519469604191,0.10871302896858777,1.1796849968252427,1000,1000,-,1,0
binary_array_100._deserialize,bson@5.5.1,141.55662093706732,135.44373180911833,139.04021107816376,14.928114822614079,13.156500907588375,1000,1000,1,-,-
binary_array_100._deserialize,bson@5.5.1,128.48120513756282,123.14754875764197,126.39246998873728,17.594714301375515,11.728686385721975,1000,1000,0,-,-
binary_array_100._serialize,bson@5.5.1,123.372108974987,116.33894152977862,119.89864153565375,7.116717633303402,9.70899115647321,1000,1000,-,1,0
binary_small._deserialize,bson@5.5.1,371.14883932076117,341.4271031294676,356.7241727648319,2.4925848411408085,49.4984266021359,1000,1000,1,-,-
binary_small._deserialize,bson@5.5.1,335.38261189397593,298.98980508860075,319.17615424975696,2.252266833060397,48.373657784828985,1000,1000,0,-,-
binary_small._serialize,bson@5.5.1,228.31386304821396,189.91075150997096,210.879411125485,12.046655757864475,41.60191121057655,1000,1000,-,1,0
binary_medium._deserialize,bson@5.5.1,379510.6114317395,329118.1170704394,362707.5469192421,7314.580718807359,69601.30441107531,1000,1000,1,-,-
binary_medium._deserialize,bson@5.5.1,349763.4925488886,302792.8239878276,334157.7705894733,7116.605009269335,63115.265275830294,1000,1000,0,-,-
binary_medium._serialize,bson@5.5.1,4562.355531184132,3386.201795129266,3393.4863425380863,1845.866853986651,328.6441965980742,1000,1000,-,1,0
binary_array_10._deserialize,bson@5.5.1,89.3584312577504,67.84470928712116,83.93867897896274,1.5707937148676898,23.497006331550757,1000,1000,1,-,-
binary_array_10._deserialize,bson@5.5.1,79.47405651883058,63.7354370729946,74.4885388174493,0.6022434758780943,17.28727276851525,1000,1000,0,-,-
binary_array_10._serialize,bson@5.5.1,69.44709283562597,51.92949167836355,61.37772603136195,0.8047853094442304,15.69561021002137,1000,1000,-,1,0
binary_array_1000._deserialize,bson@5.5.1,147.60520126191562,140.58442908254176,143.6664536125718,68.86025060595642,12.303023566342603,1000,1000,1,-,-
binary_array_1000._deserialize,bson@5.5.1,135.60686318774586,128.4469346724404,132.48316019380357,37.41957504988844,11.8899524618308,1000,1000,0,-,-
binary_array_1000._serialize,bson@5.5.1,133.30059531728423,130.54982441411374,132.13614088992284,50.28537003483975,3.725591520596678,1000,1000,-,1,0
binary_singleFieldDocument._deserialize,bson@4.7.2,17.25514334234256,15.36428202325303,16.325050078070195,0.5576158827169059,2.6636002368084495,1000,1000,1,-,-
binary_singleFieldDocument._deserialize,bson@4.7.2,13.198322136845956,11.557328498305404,12.500026648877645,0.5879136278604873,2.1671543520812993,1000,1000,0,-,-
binary_singleFieldDocument._serialize,bson@4.7.2,12.835860542492904,11.53891109714978,12.11615814047227,0.39118650677670624,1.7248854371502973,1000,1000,-,1,0
binary_singleElementArray._deserialize,bson@4.7.2,12.898352593575229,11.131034944499845,12.23900566246244,0.15317982899617605,2.1086164598325845,1000,1000,1,-,-
binary_singleElementArray._deserialize,bson@4.7.2,10.448690198377083,9.312476809629613,10.04726933913457,0.15362140003992975,1.5402349795924848,1000,1000,0,-,-
binary_singleElementArray._serialize,bson@4.7.2,12.011314728508058,9.455263812655419,9.800168551744674,0.6279859039721867,1.4712423840157276,1000,1000,-,1,0
binary_array_100._deserialize,bson@4.7.2,147.90819879968467,141.27344199068213,144.48333767621182,17.640200553897373,12.511193652081813,1000,1000,1,-,-
binary_array_100._deserialize,bson@4.7.2,94.76520025789215,90.16420305701033,93.28951636036098,16.635695376483376,9.563183683698322,1000,1000,0,-,-
binary_array_100._serialize,bson@4.7.2,112.71224349289928,103.11206357089553,104.89396552577558,60.33109865266958,5.7926802435784275,1000,1000,-,1,0
binary_small._deserialize,bson@4.7.2,409.5568030131827,370.70031604243877,394.14988484498366,14.675288693607955,63.83323420737878,1000,1000,1,-,-
binary_small._deserialize,bson@4.7.2,331.2038567281242,285.5733085940477,308.72375749940113,14.177324388083466,54.059178436321055,1000,1000,0,-,-
binary_small._serialize,bson@4.7.2,265.4213748903484,221.38254102398642,245.6178643156134,15.132942288497928,46.698721803384295,1000,1000,-,1,0
binary_medium._deserialize,bson@4.7.2,405644.68049122643,352832.45100002526,383958.5352690289,10605.737015006967,72558.7140338121,1000,1000,1,-,-
binary_medium._deserialize,bson@4.7.2,330367.5827350472,284382.31794527674,314326.88294708636,2198.4888046384153,60274.62541228939,1000,1000,0,-,-
binary_medium._serialize,bson@4.7.2,4982.841187545336,3480.6220413747833,3429.2212866154196,1825.9989359196213,414.53393754907796,1000,1000,-,1,0
binary_array_10._deserialize,bson@4.7.2,87.17799196107467,71.20385652809827,82.97244138125681,0.9522793963162004,18.676729223297258,1000,1000,1,-,-
binary_array_10._deserialize,bson@4.7.2,63.79879424272479,58.57218962056344,61.96294438063937,1.6272145978894779,7.87982500134731,1000,1000,0,-,-
binary_array_10._serialize,bson@4.7.2,35.49500631470146,32.95186810787685,34.16496882805538,4.489888314005352,3.5075686601700764,1000,1000,-,1,0
binary_array_1000._deserialize,bson@4.7.2,145.72126078671835,139.18142492640712,142.0611949016723,68.63036916849009,11.83211567342663,1000,1000,1,-,-
binary_array_1000._deserialize,bson@4.7.2,97.15969589040043,92.18588606473143,94.25678937642617,43.00666218168048,8.808835601509058,1000,1000,0,-,-
binary_array_1000._serialize,bson@4.7.2,121.29235197001415,117.87392414023012,120.30027986779616,24.471720204824255,5.41389284726628,1000,1000,-,1,0
binary_singleFieldDocument._deserialize,bson-ext@4.0.2,10.809413964638898,10.119551911191936,10.539222042044674,0.49080600611551306,1.2363256265245814,1000,1000,1,-,-
binary_singleFieldDocument._deserialize,bson-ext@4.0.2,8.60862852915205,7.917283668783821,8.351946909649374,0.48629332963039984,1.0689393123957356,1000,1000,0,-,-
binary_singleFieldDocument._serialize,bson-ext@4.0.2,6.118371883759292,5.604710450325301,5.913911220048037,0.10590037233635355,0.7349556474889655,1000,1000,-,1,0
binary_singleElementArray._deserialize,bson-ext@4.0.2,11.91032873051225,10.78842169676239,11.478756872056989,0.5165392778188957,1.6421231348719856,1000,1000,1,-,-
