test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteValues,checkKeys,ignoreUndefined
double_singleFieldDocument._deserialize,bson@6.2.0,4.576696529853715,4.14845108067472,4.304172486346826,0.029187707697549164,0.5884895796624193,1000,1000,1,-,-
double_singleFieldDocument._deserialize,bson@6.2.0,5.080476739637877,4.712859756411352,4.891970307013814,0.16762353380003062,0.6504828031507277,1000,1000,0,-,-
double_singleFieldDocument._serialize,bson@6.2.0,3.7926397468139816,3.525335480381663,3.6630143007896363,0.031552457495026595,0.47014138983581816,1000,1000,-,1,0
double_singleElementArray._deserialize,bson@6.2.0,5.613221027978754,4.926610334619479,5.40685992362107,0.9828969808104094,0.9411142316818873,1000,1000,1,-,-
double_singleElementArray._deserialize,bson@6.2.0,5.300816265274366,4.631682784431356,5.054977108755373,0.9271715745466301,0.841275073365041,1000,1000,0,-,-
double_singleElementArray._serialize,bson@6.2.0,4.643601464167341,4.217912315107769,4.374477804575973,0.04552510924243877,0.5792082392102913,1000,1000,-,1,0
double_array_10._deserialize,bson@6.2.0,30.49200595603048,15.517198810651275,14.151729223514588,0.9712030062812196,5.783898295247996,1000,1000,1,-,-
double_array_10._deserialize,bson@6.2.0,30.695328564658166,15.86535762008266,13.572046510186537,0.33696277087368137,7.032604928214657,1000,1000,0,-,-
double_array_10._serialize,bson@6.2.0,12.211295072982299,11.152233636938288,11.747214516342186,0.1838170157891534,1.4718815022390495,1000,1000,-,1,0
double_array_100._deserialize,bson@6.2.0,70.78008510146451,64.12399781047458,67.07044361482858,3.777117174675456,6.938607514837546,1000,1000,1,-,-
double_array_100._deserialize,bson@6.2.0,69.89908215620808,65.42602773384948,66.70819954609755,4.0610523017701405,5.960448313352868,1000,1000,0,-,-
double_array_100._serialize,bson@6.2.0,31.796929014472777,30.514062512555846,31.278593015057535,4.7013222882894645,2.194823740319629,1000,1000,-,1,0
double_array_1000._deserialize,bson@6.2.0,78.50001605448054,74.82398341810399,76.11386134853277,27.661009042059145,5.809666546553732,1000,1000,1,-,-
double_array_1000._deserialize,bson@6.2.0,77.73849161748622,72.42168620040188,74.52641458306888,27.26047936814952,7.75250001583508,1000,1000,0,-,-
double_array_1000._serialize,bson@6.2.0,38.45655166192077,37.54901395005202,37.801782643063305,26.53002936929626,0.9557377675972938,1000,1000,-,1,0
double_singleFieldDocument._deserialize,bson@5.5.1,5.42001862969444,5.081097700482939,5.263165115549514,0.030016582530449833,0.6546356019501306,1000,1000,1,-,-
double_singleFieldDocument._deserialize,bson@5.5.1,4.477605853701933,4.20457711067424,4.357294029802293,0.030284601095953177,0.5403906640120543,1000,1000,0,-,-
double_singleFieldDocument._serialize,bson@5.5.1,3.747667873530589,3.4606719938123,3.5799667834343936,0.026111250361365437,0.45910975544001364,1000,1000,-,1,0
double_singleElementArray._deserialize,bson@5.5.1,5.527913014827018,4.843739541279096,5.288910129334116,1.0231756641377796,0.8834877965720771,1000,1000,1,-,-
double_singleElementArray._deserialize,bson@5.5.1,5.072284796492951,4.497062819118493,4.900746626161126,0.8592167180720238,0.8045040184840324,1000,1000,0,-,-
double_singleElementArray._serialize,bson@5.5.1,4.50449477118041,4.135392304009499,4.272137040215572,0.046421807260393945,0.5111969740965654,1000,1000,-,1,0
double_array_10._deserialize,bson@5.5.1,31.427579990295314,15.538421749522945,14.134886330449369,0.3638021477643816,6.0122658036564225,1000,1000,1,-,-
double_array_10._deserialize,bson@5.5.1,30.0618271860799,15.737835549831502,13.624432124182906,0.3157622344893143,6.9122382931108,1000,1000,0,-,-
double_array_10._serialize,bson@5.5.1,17.887880996576598,11.142669556642462,11.685209833135433,0.40950845420004467,1.633681470422633,1000,1000,-,1,0
double_array_100._deserialize,bson@5.5.1,70.79868329764172,64.11598650124901,66.9166972455191,2.932669173667221,7.099755625762377,1000,1000,1,-,-
