test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined,index
code-with-scope_array_100._serialize,bson@4.7.2,150.44389007631403,144.35690569199284,147.58721211074374,44.09887175945128,10.749248147445355,1000,1000,1,0,-
code-with-scope_array_10._serialize,bson@4.7.2,124.73283827231877,116.29214505946743,119.23176297431031,4.920052845343398,11.82750712782904,1000,1000,1,0,-
code-without-scope_singleFieldDocument._deserialize,bson@4.7.2,42.258004041315395,37.70603832850276,40.43466117501057,1.7230071130710825,6.617160177892474,1000,1000,-,-,0
code-without-scope_singleElementArray._deserialize,bson@4.7.2,31.14711125347279,27.832561983905638,30.142206825873792,0.36192451352569366,4.668200906781844,1000,1000,-,-,0
code-without-scope_array_100._deserialize,bson@4.7.2,153.96547233508574,150.1891321993598,153.14492359857223,40.4299484786007,11.899375081327968,1000,1000,-,-,0
code-without-scope_array_10._deserialize,bson@4.7.2,132.14998139925706,123.83853299834628,130.09831446461692,5.1136540283683924,13.14455373348359,1000,1000,-,-,0
code-without-scope_array_1000._deserialize,bson@4.7.2,155.6675216340913,151.12636456827354,153.05244464811295,82.7758170957201,7.818882122816503,1000,1000,-,-,0
code-with-scope_singleFieldDocument._deserialize,bson@4.7.2,32.40830361005402,28.28774916888321,30.125400851397046,1.6519282732401948,4.8414076904758305,1000,1000,-,-,0
code-with-scope_singleElementArray._deserialize,bson@4.7.2,26.51518159117489,23.01522482336376,23.62308513507561,0.46196936398062916,3.5840141597631656,1000,1000,-,-,0
code-with-scope_array_1000._deserialize,bson@4.7.2,84.65875910961014,83.01489154268744,83.81551504657625,51.19684097117523,3.477540969256594,1000,1000,-,-,0
code-with-scope_array_100._deserialize,bson@4.7.2,85.3162643323342,82.42832122100455,84.56373623202032,38.64781204928435,6.981571531936127,1000,1000,-,-,0
code-with-scope_array_10._deserialize,bson@4.7.2,79.41457269858937,77.00495164261335,78.28944018123732,6.6702879152192605,5.926155387586659,1000,1000,-,-,0
code-without-scope_singleFieldDocument._serialize,bson-ext@4.0.2,18.94261087612275,17.129534773605936,18.127732036736898,1.3529068408801503,2.2902014707617564,1000,1000,1,0,-
code-without-scope_singleElementArray._serialize,bson-ext@4.0.2,19.1271630939191,17.285799447801654,18.308418677569087,1.408380694068149,2.310323406140347,1000,1000,1,0,-
code-without-scope_array_100._serialize,bson-ext@4.0.2,69.59617110220185,67.75146952450442,68.6022111638225,27.60768766787424,2.7337786478954933,1000,1000,1,0,-
code-without-scope_array_10._serialize,bson-ext@4.0.2,52.27684409286131,49.27391575494663,51.045988223162354,2.7874461708578684,4.245948172303249,1000,1000,1,0,-
code-without-scope_array_1000._serialize,bson-ext@4.0.2,69.1894972539696,66.93269876372365,67.13031187758352,56.243436981246866,1.4432940171925033,1000,1000,1,0,-
code-with-scope_singleFieldDocument._serialize,bson-ext@4.0.2,18.24934830992291,16.8214244460022,17.608617051370473,0.3972879881428796,2.0563443768302845,1000,1000,1,0,-
code-with-scope_singleElementArray._serialize,bson-ext@4.0.2,17.564980272387622,16.209485736148487,16.897623678591867,1.5672576953298487,1.7321942017607912,1000,1000,1,0,-
code-with-scope_array_1000._serialize,bson-ext@4.0.2,41.151115525454124,40.05032755935939,40.3838139710559,34.78323058711048,1.0956639972665678,1000,1000,1,0,-
code-with-scope_array_100._serialize,bson-ext@4.0.2,41.30866017176416,39.757580423290634,40.15734752933803,24.69062934111415,2.1783626113775334,1000,1000,1,0,-
code-with-scope_array_10._serialize,bson-ext@4.0.2,35.683837119159755,34.396946836092404,34.925264679037085,5.357207624986777,2.4434515386295277,1000,1000,1,0,-
code-without-scope_singleFieldDocument._deserialize,bson-ext@4.0.2,45.02687704540447,41.68351321576772,43.81968334161721,5.8205205090033525,6.156315610864165,1000,1000,-,-,0
code-without-scope_singleElementArray._deserialize,bson-ext@4.0.2,40.86318711514382,36.80096122122077,39.63720896418258,7.154731692081296,6.370274453695343,1000,1000,-,-,0
code-without-scope_array_100._deserialize,bson-ext@4.0.2,190.41687511718075,184.25959881518173,188.709062637027,41.863863113618265,15.23975477856798,1000,1000,-,-,0
code-without-scope_array_10._deserialize,bson-ext@4.0.2,132.4723062398119,122.4496467885825,129.36213117051153,5.819042835383952,14.010430410530406,1000,1000,-,-,0
code-without-scope_array_1000._deserialize,bson-ext@4.0.2,200.00458132022328,191.70739973973292,194.75903203406108,94.9842366493259,13.176056370533798,1000,1000,-,-,0
code-with-scope_singleFieldDocument._deserialize,bson-ext@4.0.2,44.36765250714574,40.45164552153506,43.130251835386424,9.06031946914674,6.394650986455814,1000,1000,-,-,0
code-with-scope_singleElementArray._deserialize,bson-ext@4.0.2,40.974004786792364,36.600639238212736,39.41882769605088,0.44363774718228555,5.84702304097044,1000,1000,-,-,0
code-with-scope_array_1000._deserialize,bson-ext@4.0.2,101.98782352436007,98.25414538395778,99.26506475891438,71.65239984183418,4.380847561889473,1000,1000,-,-,0
code-with-scope_array_100._deserialize,bson-ext@4.0.2,104.96125430867752,101.07046481492239,102.7792543649283,38.458000438967304,7.685939276358247,1000,1000,-,-,0
code-with-scope_array_10._deserialize,bson-ext@4.0.2,89.76476512314431,83.05241809578499,85.28309331673152,6.520342274019034,7.430005202211658,1000,1000,-,-,0
