test_name,library,max,mean,median,min,stddev,warmup,iterations,bsonRegExp
regex_singleFieldDocument._deserialize,bson@6.2.0,13.37787664226756,11.19199580501564,11.252737425892596,0.13996107442694547,1.9044458059973053,1000,1000,1
regex_singleFieldDocument._deserialize,bson@6.2.0,13.050565769882892,11.037669566003668,11.187840784593547,0.1418115972195074,1.8472701818703807,1000,1000,0
regex_singleFieldDocument._serialize,bson@6.2.0,15.748055938107285,12.885588997138443,12.381495061778221,0.1338229002606435,2.3366620725304483,1000,1000,-
regex_singleElementArray._deserialize,bson@6.2.0,11.709232496146875,9.72348131148595,10.050249201277955,0.491266430880708,1.6437025970874184,1000,1000,1
regex_singleElementArray._deserialize,bson@6.2.0,16.34885333585973,9.503837936140465,9.762058484361841,0.30398471167418395,2.013813077216623,1000,1000,0
regex_singleElementArray._serialize,bson@6.2.0,13.894254648347415,11.42619460732988,11.920545965497578,0.18095862777234195,2.2352904079566156,1000,1000,-
regex_array_100._deserialize,bson@6.2.0,36.37190008001097,35.34427024238716,35.86814547176968,14.10834014345694,1.936851012751821,1000,1000,1
regex_array_100._deserialize,bson@6.2.0,32.20804658821588,31.46345169504747,31.996631006907453,14.222017257572483,1.7721203852492096,1000,1000,0
regex_array_100._serialize,bson@6.2.0,71.43198027978114,69.10613078301569,70.1432519659848,17.841062540051706,3.6834551452601874,1000,1000,-
regex_array_10._deserialize,bson@6.2.0,33.690927748739924,30.039027400657208,31.12818863957508,2.053500012940102,2.940731850641595,1000,1000,1
regex_array_10._deserialize,bson@6.2.0,29.881045555573603,28.18040519205455,29.160021649187897,2.145640176585928,2.414021113606211,1000,1000,0
regex_array_10._serialize,bson@6.2.0,58.31718560150798,53.95737867896235,56.53479524737993,6.327188086450908,5.835238530477643,1000,1000,-
regex_array_1000._deserialize,bson@6.2.0,36.45851432683543,35.852442512626865,36.0970620371716,25.182304261999352,1.0609897109551272,1000,1000,1
regex_array_1000._deserialize,bson@6.2.0,32.360614228233935,31.89070100254332,32.06978142177826,26.130832182899674,0.7725907697837037,1000,1000,0
regex_array_1000._serialize,bson@6.2.0,73.39496967687245,71.98608140405453,72.24872307466188,54.89071074557754,1.9339124512834864,1000,1000,-
regex_singleFieldDocument._deserialize,bson@5.5.1,13.596745924110902,11.218953858430863,11.243840831029573,0.3516502877986819,1.926912008036845,1000,1000,1
regex_singleFieldDocument._deserialize,bson@5.5.1,13.00811475092072,10.951527167031047,11.055456072640839,0.13305834902421793,1.80933128653943,1000,1000,0
regex_singleFieldDocument._serialize,bson@5.5.1,15.928288024209698,12.503144041610069,12.11088333476045,0.6218966175516635,2.2380076209456545,1000,1000,-
