test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined
date_singleFieldDocument._serialize,bson@6.2.0,3.642148583833656,3.236185574369791,3.3347263535091174,0.029496567136593484,0.4719229996722529,1000,1000,1,0
date_singleElementArray._serialize,bson@6.2.0,4.772327286734422,3.8181120374811304,3.9100703933345313,0.11547288057749462,0.5815449423312712,1000,1000,1,0
date_array_10._serialize,bson@6.2.0,27.48604874930073,15.952348322398059,16.086854806084002,0.5234955745342796,4.326906633945209,1000,1000,1,0
date_array_1000._serialize,bson@6.2.0,55.81654854692923,54.13167913703451,55.36924871256346,26.919217328712172,3.98427568095528,1000,1000,1,0
date_array_100._serialize,bson@6.2.0,47.98561797410873,45.91539210608821,46.78567858272918,4.453740885417242,3.9785525045494405,1000,1000,1,0
date_singleFieldDocument._deserialize,bson@6.2.0,5.943571340005314,5.3583975709928255,5.702051022792446,0.11981786697465255,0.9112424756008215,1000,1000,-,-
date_singleElementArray._deserialize,bson@6.2.0,5.949455281549668,5.12943710446639,5.727906112374933,0.291240984186387,0.994942515746774,1000,1000,-,-
date_array_10._deserialize,bson@6.2.0,33.1445710843954,24.386687792112895,27.458347733031392,0.5815822765438822,7.759154494763891,1000,1000,-,-
date_array_1000._deserialize,bson@6.2.0,60.829067729656856,55.78075206184149,59.271949268226784,22.76926250665666,7.267758668719402,1000,1000,-,-
date_array_100._deserialize,bson@6.2.0,56.513380312569566,53.13221814148722,55.07357183158233,6.401694658723356,6.327746247865012,1000,1000,-,-
date_singleFieldDocument._serialize,bson@5.5.1,4.195057799448338,3.8505877352330256,3.9999918937847383,0.02917434848394938,0.5197633221972361,1000,1000,1,0
date_singleElementArray._serialize,bson@5.5.1,5.699347251907317,4.564155240796562,4.7262814383557625,0.2933733655666254,0.6343136285042265,1000,1000,1,0
date_array_10._serialize,bson@5.5.1,27.821786765895485,16.053389239781968,15.962635016769191,0.5777441600484235,4.424660850706129,1000,1000,1,0
date_array_1000._serialize,bson@5.5.1,55.739148941188404,54.13331864107384,55.333866170120245,27.432295428204586,3.9015313584296885,1000,1000,1,0
date_array_100._serialize,bson@5.5.1,47.83679794081014,46.02417215326211,46.94816078641636,4.507390108280812,4.100009375247184,1000,1000,1,0
date_singleFieldDocument._deserialize,bson@5.5.1,5.96569635416088,5.355924901370502,5.734789401604574,0.041550347021079605,0.9644724009293513,1000,1000,-,-
date_singleElementArray._deserialize,bson@5.5.1,5.949455281549668,5.081644966230675,5.713601207817055,0.2651289445561257,1.0285250464671511,1000,1000,-,-
date_array_10._deserialize,bson@5.5.1,32.368380841836135,23.995982400345596,26.22326391918109,0.6064998568686866,7.502697828620868,1000,1000,-,-
date_array_1000._deserialize,bson@5.5.1,60.846840826016276,56.1267333124335,59.364943389526985,22.94176618786807,7.041689918436594,1000,1000,-,-
date_array_100._deserialize,bson@5.5.1,56.291217439324384,52.85380712259735,54.833871307013155,6.161362518030304,6.362081485070562,1000,1000,-,-
date_singleFieldDocument._serialize,bson@4.7.2,4.1851816119551914,3.738837356917204,4.0060210124164275,0.22289398074762584,0.6251347183204504,1000,1000,1,0
date_singleElementArray._serialize,bson@4.7.2,5.856518028304219,4.2115174950583905,4.326661533987967,0.1747157269813362,0.77624897526174,1000,1000,1,0
date_array_10._serialize,bson@4.7.2,11.952214069758012,10.83634120539972,11.458908475233041,0.3641250904204162,1.4187690342009713,1000,1000,1,0
date_array_1000._serialize,bson@4.7.2,24.842078463961148,23.239269624425408,23.919737194280998,16.507050101609483,1.6773967675221855,1000,1000,1,0
date_array_100._serialize,bson@4.7.2,22.24071270811076,21.311482018332107,21.931543464036906,3.9512840206677526,1.7451071722406861,1000,1000,1,0
date_singleFieldDocument._deserialize,bson@4.7.2,5.031450962016064,4.368265350085233,4.767587810960846,0.21028288163867379,0.8512609122922601,1000,1000,-,-
date_singleElementArray._deserialize,bson@4.7.2,5.105309200641567,4.590248284633734,4.939287467569508,0.07027016040893716,0.7264311412135953,1000,1000,-,-
date_array_10._deserialize,bson@4.7.2,17.41711808644424,16.350228417021018,16.966712181742306,0.5055923856266158,1.7761120930153353,1000,1000,-,-
date_array_1000._deserialize,bson@4.7.2,24.374349046498825,23.39284462034055,23.751538898871825,12.075049955739981,1.8083846874004519,1000,1000,-,-
date_array_100._deserialize,bson@4.7.2,22.702822525781546,21.75706328751985,22.33941454030761,4.771821309715767,2.0890716595421384,1000,1000,-,-
date_singleFieldDocument._serialize,bson-ext@4.0.2,2.836879379858069,2.558053933258332,2.731305705070156,0.03642514552698521,0.3756146975299612,1000,1000,1,0
date_singleElementArray._serialize,bson-ext@4.0.2,3.915812248668887,3.515343007060602,3.7290298394117323,0.05400139009060534,0.4925769151842389,1000,1000,1,0
date_array_10._serialize,bson-ext@4.0.2,11.631209554782746,10.873406146205202,11.324914281010331,0.2608413506076678,1.1697404497859345,1000,1000,1,0
date_array_1000._serialize,bson-ext@4.0.2,26.807250788841298,26.27808337484994,26.311818078182842,17.408679662569366,0.7884490723242489,1000,1000,1,0
date_array_100._serialize,bson-ext@4.0.2,22.116007291283715,21.34488990902064,21.83679506462896,3.4651609096090144,1.3568351478036507,1000,1000,1,0
date_singleFieldDocument._deserialize,bson-ext@4.0.2,6.3141227139614475,5.870597933138745,6.142055303229645,0.8645849026826291,0.8393020908833912,1000,1000,-,-
date_singleElementArray._deserialize,bson-ext@4.0.2,8.48351735035712,7.628564123938855,8.241758746716958,1.2945694871114755,1.3955080075248982,1000,1000,-,-
date_array_10._deserialize,bson-ext@4.0.2,22.38405874791871,20.104489061832865,21.681569362506895,1.2766354392955608,3.074239342426104,1000,1000,-,-
date_array_1000._deserialize,bson-ext@4.0.2,44.950673056102474,42.69900949770347,43.729493432625674,20.64542807956289,3.8632722827983135,1000,1000,-,-
date_array_100._deserialize,bson-ext@4.0.2,38.777686437217994,36.97740063035564,38.084096864188425,3.700991857832558,3.4100276991659544,1000,1000,-,-
