test_name,library,max,mean,median,min,stddev,warmup,iterations
null_singleFieldDocument._serialize,bson@6.2.0,2.744402077454709,2.5271295753270087,2.6246695738897468,0.05769966433720354,0.3393917786151906,1000,1000
null_singleElementArray._serialize,bson@6.2.0,4.083724400225154,3.602543696083303,3.717479206193134,0.03647837681249228,0.5213484052548456,1000,1000
null_array_10._serialize,bson@6.2.0,7.299275941093444,6.879627060697024,7.10625880869591,0.09295849991311962,0.7862140486376954,1000,1000
null_array_1000._serialize,bson@6.2.0,27.686954729122288,27.00306571361492,27.335701973521406,20.82395416834433,0.750201688626609,1000,1000
null_array_100._serialize,bson@6.2.0,19.930750313572723,19.039866617769388,19.533711072574164,0.8147404886995909,1.586698211404868,1000,1000
null_singleFieldDocument._deserialize,bson@6.2.0,3.708850270113434,3.4281473962077325,3.535115442357837,0.020568143357267588,0.4444112566500696,1000,1000
null_singleElementArray._deserialize,bson@6.2.0,4.613601038094993,4.0307386049193425,4.434604110222692,0.8119755290075031,0.7814442841460255,1000,1000
null_array_10._deserialize,bson@6.2.0,16.208231680877116,8.509912754442446,7.835265174018583,0.23008556460991883,3.0780300347466794,1000,1000
null_array_1000._deserialize,bson@6.2.0,44.760312787391385,42.68767640959248,43.45610435635559,15.398820555862097,3.2901153528045888,1000,1000
null_array_100._deserialize,bson@6.2.0,36.358746967737424,33.24690623445095,34.744406621793324,1.4904618911700311,3.55649173245757,1000,1000
null_singleFieldDocument._serialize,bson@5.5.1,2.7595807307194113,2.543479015670657,2.636786923892971,0.05857202119660537,0.33502346220585905,1000,1000
null_singleElementArray._serialize,bson@5.5.1,4.056785316497782,3.5597388854299536,3.6634351003642798,0.03482780851153684,0.5054542764298834,1000,1000
null_array_10._serialize,bson@5.5.1,7.347897881962305,6.904688343610479,7.110969382040041,0.09636091986694179,0.7456512645310188,1000,1000
null_array_1000._serialize,bson@5.5.1,27.74225665503526,27.076757119026464,27.424074609826842,6.451349769818982,0.998980857568772,1000,1000
null_array_100._serialize,bson@5.5.1,20.100747393096515,19.201230069870068,19.689274330510546,0.7360542491827432,1.639383715007434,1000,1000
null_singleFieldDocument._deserialize,bson@5.5.1,3.7122867653160005,3.438649410434946,3.55242517600974,0.018745152392484497,0.429373699025674,1000,1000
null_singleElementArray._deserialize,bson@5.5.1,4.632310689664099,4.072264561652147,4.46926877835588,0.7960601295947568,0.7730760034672753,1000,1000
null_array_10._deserialize,bson@5.5.1,15.728011336756161,8.405263314956237,7.868251266530334,0.20661057579264602,2.90576499909858,1000,1000
null_array_1000._deserialize,bson@5.5.1,44.58610580723493,42.65258193877281,43.4324311199441,14.29641852988557,3.3210276290800813,1000,1000
null_array_100._deserialize,bson@5.5.1,36.91487657037405,33.36688059813487,34.91142980836642,1.581787743376843,3.6613874183652064,1000,1000
