test_name,library,max,mean,median,min,stddev,warmup,iterations
objectid_singleFieldDocument._serialize,bson@6.2.0,6.361331247926442,5.311773740436287,5.879753939629998,0.041142189285843254,1.0611868397417359,1000,1000
objectid_singleElementArray._serialize,bson@6.2.0,5.073380399272087,4.276759838659749,4.527074274424027,0.056329302429094646,0.6411387837462491,1000,1000
objectid_array_10._serialize,bson@6.2.0,21.427679809440228,17.2772193200666,19.9987656965668,0.6075560222042218,4.253616801560812,1000,1000
objectid_array_1000._serialize,bson@6.2.0,32.11678637072238,30.703037141917864,31.172888274817232,21.61196612476193,1.8429013510969632,1000,1000
objectid_array_100._serialize,bson@6.2.0,29.504332033311282,28.579896575917424,29.146769512962003,4.973411111521034,2.1701981616032073,1000,1000
objectid_singleFieldDocument._deserialize,bson@6.2.0,6.6467453077799235,5.915858994623446,6.412328390154411,0.04935115770539338,1.1212479805148114,1000,1000
objectid_singleElementArray._deserialize,bson@6.2.0,6.3377299164210115,5.276165794966184,5.922160389102322,0.1179225499033675,1.067156064052592,1000,1000
objectid_array_10._deserialize,bson@6.2.0,25.169916041565042,21.780250655836138,23.93718915622355,0.05007911270652599,4.25342854958613,1000,1000
objectid_array_1000._deserialize,bson@6.2.0,45.45320277756563,42.45764840444072,44.23607075532375,11.2771093219988,5.1417384885088255,1000,1000
objectid_array_100._deserialize,bson@6.2.0,43.501868253147926,41.3434848121532,42.7728989459078,7.135703354610442,5.146443428661824,1000,1000
objectid_singleFieldDocument._serialize,bson@5.5.1,5.35478667464592,4.773210438761164,4.9794552265050624,0.04603447478720957,0.7561642121822991,1000,1000
objectid_singleElementArray._serialize,bson@5.5.1,5.7755735221796005,5.021586177939285,5.206879357232054,0.06352966613937382,0.8090884526522725,1000,1000
objectid_array_10._serialize,bson@5.5.1,15.86065501871888,13.626119538134482,14.585479556503326,0.5830361585724785,2.0657036621359377,1000,1000
objectid_array_1000._serialize,bson@5.5.1,25.849241518552216,24.583564849922297,25.106199562387854,18.461017405099035,1.5822715168468882,1000,1000
objectid_array_100._serialize,bson@5.5.1,23.740760069720153,22.83614044762671,23.427620265475756,5.15697745897376,2.0088731189536806,1000,1000
objectid_singleFieldDocument._deserialize,bson@5.5.1,6.759078630636438,5.978248378369494,6.48717613126993,0.13899990865743203,1.1664949433001692,1000,1000
objectid_singleElementArray._deserialize,bson@5.5.1,6.292144203272232,5.306139619378163,5.966330918073805,0.10593941165274323,1.08973130521962,1000,1000
objectid_array_10._deserialize,bson@5.5.1,28.737619159209967,21.23993721600266,20.543169789059064,0.04835545461102361,4.985444162008844,1000,1000
objectid_array_1000._deserialize,bson@5.5.1,44.74534177732483,41.85945367531346,43.555621750381725,10.910243415046487,5.025873680953488,1000,1000
objectid_array_100._deserialize,bson@5.5.1,42.26208180753175,40.303500066299975,41.676403961095815,6.67354949340198,4.83413416876583,1000,1000
objectid_singleFieldDocument._serialize,bson@4.7.2,5.998772157216795,5.32551174893285,5.750397504777084,0.18788517392621426,0.9849344626338237,1000,1000
objectid_singleElementArray._serialize,bson@4.7.2,6.4664989297341195,5.411116869586373,5.742408669370885,0.3468049529638236,0.9494623275731436,1000,1000
objectid_array_10._serialize,bson@4.7.2,15.226537906458798,13.89651493957825,14.60378333887203,1.667587679899848,1.60709519519459,1000,1000
objectid_array_1000._serialize,bson@4.7.2,30.873792962075576,28.824715281103813,29.45209632932054,21.081842499089237,2.093909457225963,1000,1000
objectid_array_100._serialize,bson@4.7.2,27.984852739628028,26.847159779913532,27.501607778488925,5.327138958956934,2.4323517460596045,1000,1000
objectid_singleFieldDocument._deserialize,bson@4.7.2,7.165845960000427,6.238882864976917,6.887057326409557,0.20615794466480872,1.317545358438195,1000,1000
objectid_singleElementArray._deserialize,bson@4.7.2,6.451623309024487,5.74033846711299,6.1892232938076415,0.07913359868308897,0.9577855665966386,1000,1000
objectid_array_10._deserialize,bson@4.7.2,27.944454233789592,20.840015605003313,20.567852240514803,0.05112945890224889,3.665653365872522,1000,1000
objectid_array_1000._deserialize,bson@4.7.2,41.654140332825925,38.9922822961339,40.25424727745181,10.689718531549227,4.439203542909784,1000,1000
objectid_array_100._deserialize,bson@4.7.2,39.347095147281614,37.45265589870204,38.779756176974,6.849227987070603,4.4710407285582985,1000,1000
objectid_singleFieldDocument._serialize,bson-ext@4.0.2,1.4809333281842205,1.2924498504074737,1.3902162115954986,0.07553727542306823,0.20387057438060635,1000,1000
objectid_singleElementArray._serialize,bson-ext@4.0.2,2.656474856382268,2.3767773585392518,2.5330492140882632,0.1534845692336105,0.33175534941387824,1000,1000
objectid_array_10._serialize,bson-ext@4.0.2,2.128183890685106,2.0280770618182515,2.0897119572115797,0.09749682363767934,0.16327149008275438,1000,1000
objectid_array_1000._serialize,bson-ext@4.0.2,3.130954705485744,3.02317803641065,3.031314725948691,2.595487236829029,0.07432384198971473,1000,1000
objectid_array_100._serialize,bson-ext@4.0.2,2.4851690613965087,2.4265138173430953,2.4594390437494575,0.9841557701967768,0.09924582087244008,1000,1000
