test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined,promoteValues,index
mixed_medium._deserialize,bson@5.5.1,36.71835698488208,35.00437334915253,35.65902171365021,5.681018181299085,2.9454576432453385,1000,1000,-,-,1,0
mixed_small._deserialize,bson@5.5.1,35.00216649173715,33.208490459397716,34.292481481862204,2.979207823618257,2.7831886817834763,1000,1000,-,-,1,0
nested_4._deserialize,bson@5.5.1,17.286191592303453,16.707701495783017,16.998523702823295,1.1764754082021576,1.3216146282502956,1000,1000,-,-,1,0
nested_8._deserialize,bson@5.5.1,17.983448576866422,17.271917474483246,17.713769424338178,10.20090278925642,1.3935642148877385,1000,1000,-,-,1,0
nested_16._deserialize,bson@5.5.1,16.77573550630584,16.274322634411458,16.16014852353048,14.587707698186538,0.3585206353844364,1000,1000,-,-,1,0
tweet._serialize,bson@4.7.2,55.02641472602923,51.57741692214332,53.37752250394644,13.02668394164193,4.058662630152537,1000,1000,1,0,-,-
bestbuy_medium._serialize,bson@4.7.2,55.38757360054283,52.10577016855926,52.83532400907161,20.716274374794356,2.9990777337783303,1000,1000,1,0,-,-
deep_bson._serialize,bson@4.7.2,37.05379129611291,35.457002744411284,35.53707054238462,13.412745462870564,1.842389713830214,1000,1000,1,0,-,-
flat_bson._serialize,bson@4.7.2,96.59841366309564,92.78023299548958,94.97252384159603,18.104181216280566,6.132727942109808,1000,1000,1,0,-,-
full_bson._serialize,bson@4.7.2,52.52693649661383,49.188153038051524,50.306898542036976,7.595789010781876,3.526587729037599,1000,1000,1,0,-,-
mixed_large._serialize,bson@4.7.2,81.77675777485126,75.61190024008606,76.01650577539121,50.478412525395385,3.411031303333307,1000,1000,1,0,-,-
mixed_medium._serialize,bson@4.7.2,99.6171614078809,87.3327549569274,92.00574382280034,17.9080902496855,11.802099812857946,1000,1000,1,0,-,-
mixed_small._serialize,bson@4.7.2,83.42753715552313,66.41283020968272,69.43196698469728,1.7565252575534864,13.874761255703739,1000,1000,1,0,-,-
nested_4._serialize,bson@4.7.2,25.992940262568425,24.910523389409367,25.43690271902738,10.100650621938462,1.9324737580622349,1000,1000,1,0,-,-
nested_8._serialize,bson@4.7.2,29.026480703669762,28.184271976150217,28.523080648572,18.292520701890172,0.7925279538353468,1000,1000,1,0,-,-
nested_16._serialize,bson@4.7.2,26.155008738547465,25.5546180473118,25.532046392880638,24.422613601442066,0.2962114353853575,1000,1000,1,0,-,-
tweet._deserialize,bson@4.7.2,33.12991039185667,32.197811501461004,32.72137277847205,5.158043181630833,2.3866498488824734,1000,1000,-,-,1,0
bestbuy_medium._deserialize,bson@4.7.2,28.57804681636929,27.48815849896662,28.084995386192382,8.27301239453348,2.218566855074155,1000,1000,-,-,1,0
deep_bson._deserialize,bson@4.7.2,24.28419411448555,23.497454793602653,24.03746171480851,5.948239230472853,2.0150171055248567,1000,1000,-,-,1,0
flat_bson._deserialize,bson@4.7.2,57.05818623623434,55.424347370763606,56.56414218632524,18.06469287605678,4.325588205599064,1000,1000,-,-,1,0
full_bson._deserialize,bson@4.7.2,38.088381507343954,36.67730599378381,37.568697951234995,11.782343081552453,3.2405859760993754,1000,1000,-,-,1,0
mixed_large._deserialize,bson@4.7.2,78.13293898596645,72.35916210760652,74.47279835132312,37.007030203808284,5.65036716177422,1000,1000,-,-,1,0
