test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined,index
minkey_singleFieldDocument._serialize,bson@6.2.0,2.1639120684234707,1.9784059230935955,2.0586646215671083,0.017804999585776693,0.2648317979185265,1000,1000,1,0,-
minkey_singleElementArray._serialize,bson@6.2.0,3.5602935925832595,3.1054670626534424,3.129584995787256,0.033806482569512485,0.4333337304024998,1000,1000,1,0,-
minkey_array_1000._serialize,bson@6.2.0,19.34977056136987,18.91251726986869,19.09896428106078,14.631670823074828,0.4253939412159871,1000,1000,1,0,-
minkey_array_10._serialize,bson@6.2.0,9.492309761119992,7.093272192439514,8.558915489983494,0.21305480307086797,2.3255273280916513,1000,1000,1,0,-
minkey_array_100._serialize,bson@6.2.0,14.384636843779287,13.902657349701112,14.20340410680831,0.8175569991220706,1.007197627240959,1000,1000,1,0,-
minkey_singleFieldDocument._deserialize,bson@6.2.0,3.367017322044528,3.0759610877455534,3.2533490405446264,0.01847489614577438,0.47215337635172927,1000,1000,-,-,0
minkey_singleElementArray._deserialize,bson@6.2.0,4.31148892154737,3.7544077890209135,4.135422688732413,0.1578921105251719,0.7071257247081247,1000,1000,-,-,0
minkey_array_1000._deserialize,bson@6.2.0,43.94747698570856,41.02290739566684,42.12543253177343,15.26087826547134,4.189293975179445,1000,1000,-,-,0
minkey_array_10._deserialize,bson@6.2.0,16.349838817876893,9.00486192089845,6.830822942360042,0.17476334404396918,4.404379174030784,1000,1000,-,-,0
minkey_array_100._deserialize,bson@6.2.0,35.57552806724458,33.523587613698815,34.138083098129314,1.841586968053269,3.0890814738868912,1000,1000,-,-,0
minkey_singleFieldDocument._serialize,bson@5.5.1,2.2050803466546185,2.0239082666795247,2.0997274469466456,0.017739853635138882,0.27360217798869413,1000,1000,1,0,-
minkey_singleElementArray._serialize,bson@5.5.1,3.5500291741056667,3.031159507798149,3.0852345054679824,0.03290014879713076,0.4642017636590032,1000,1000,1,0,-
minkey_array_1000._serialize,bson@5.5.1,19.417283391927207,19.01383800536158,19.195608146665556,14.9560588408288,0.4072776968251621,1000,1000,1,0,-
minkey_array_10._serialize,bson@5.5.1,9.739512336053679,7.344753415804324,9.318418292626323,0.09563205996520942,2.7217413010602045,1000,1000,1,0,-
minkey_array_100._serialize,bson@5.5.1,14.573459415593163,14.05915244391147,14.354921031372378,0.7546562382141085,1.0283712853171867,1000,1000,1,0,-
minkey_singleFieldDocument._deserialize,bson@5.5.1,3.437910067750157,3.1660794309796585,3.2935451362224013,0.021563632066669412,0.45682287108222186,1000,1000,-,-,0
minkey_singleElementArray._deserialize,bson@5.5.1,4.246287852063939,3.742650656100839,4.122640906124016,0.19639853539992808,0.6905849800388588,1000,1000,-,-,0
minkey_array_1000._deserialize,bson@5.5.1,43.83157242169031,41.00805058596248,42.107701682948715,13.189006076162512,4.210463894999701,1000,1000,-,-,0
minkey_array_10._deserialize,bson@5.5.1,16.189681175031698,9.005070867011746,6.821602638075005,0.19354289105349404,4.366694488461899,1000,1000,-,-,0
minkey_array_100._deserialize,bson@5.5.1,35.66372448933841,33.493094449106174,34.11491551267852,1.743773399815183,2.9810261229263806,1000,1000,-,-,0
minkey_singleFieldDocument._serialize,bson@4.7.2,2.59067572575664,2.395099240733686,2.497271526818264,0.06952832814486712,0.3233379330264538,1000,1000,1,0,-
minkey_singleElementArray._serialize,bson@4.7.2,3.690037335386138,3.2222701620751906,3.3340221079563803,0.12241867906075685,0.4735353904222948,1000,1000,1,0,-
minkey_array_1000._serialize,bson@4.7.2,19.409288516023476,18.925813060163357,19.091341212284632,12.678686443122524,0.4456032627607719,1000,1000,1,0,-
minkey_array_10._serialize,bson@4.7.2,4.175574605765418,3.964084471696436,4.098163941772631,0.9105542410767815,0.41801303210703883,1000,1000,1,0,-
minkey_array_100._serialize,bson@4.7.2,10.965091634461162,10.571066760875015,10.75771428495435,2.559526394241043,0.6348060310148376,1000,1000,1,0,-
minkey_singleFieldDocument._deserialize,bson@4.7.2,3.605192940986865,3.2594297219606347,3.4378660382674626,0.08694046142316081,0.5250639117933574,1000,1000,-,-,0
minkey_singleElementArray._deserialize,bson@4.7.2,4.490614383458521,3.8832606140377486,4.292426249945535,0.04550858810283921,0.7748085950556961,1000,1000,-,-,0
minkey_array_1000._deserialize,bson@4.7.2,40.43510460427308,37.966080210644265,38.96496311194407,13.760103519914287,3.904071724080108,1000,1000,-,-,0
minkey_array_10._deserialize,bson@4.7.2,15.745174722000938,11.188868917514624,14.527044391417727,0.09133914153243879,4.7179861062772845,1000,1000,-,-,0
minkey_array_100._deserialize,bson@4.7.2,33.272728403688866,31.220159119887775,31.759768843014314,1.9890527807155476,2.795833843748782,1000,1000,-,-,0
minkey_singleFieldDocument._serialize,bson-ext@4.0.2,1.1621186208807386,1.0513589467101006,1.1127342630695736,0.07234645818689872,0.1373005012348841,1000,1000,1,0,-
minkey_singleElementArray._serialize,bson-ext@4.0.2,2.181612798621637,1.9789508547566312,2.0894512381668457,0.14480683652609833,0.25820821519485027,1000,1000,1,0,-
minkey_array_1000._serialize,bson-ext@4.0.2,3.1732799726197047,3.0843755970045383,3.0948583739742137,2.6187811766550118,0.07772400181268577,1000,1000,1,0,-
minkey_array_10._serialize,bson-ext@4.0.2,1.9495843345818538,1.8373948650030207,1.8853033691135537,0.09866367921338239,0.14362786417742138,1000,1000,1,0,-
minkey_array_100._serialize,bson-ext@4.0.2,2.519852580892821,2.420930678092193,2.4466132084135177,0.9774602348358861,0.10584947180448068,1000,1000,1,0,-
minkey_singleFieldDocument._deserialize,bson-ext@4.0.2,3.0875943869335174,2.906806388671146,3.0030032330599963,0.08272837396422132,0.36364309637151826,1000,1000,-,-,0
minkey_singleElementArray._deserialize,bson-ext@4.0.2,5.154637043580117,4.719317174174722,5.009385871441501,0.1858822621874774,0.7671766804484406,1000,1000,-,-,0
minkey_array_1000._deserialize,bson-ext@4.0.2,16.478178895455645,15.917895580093507,16.148900993521913,8.777740470328343,1.161144140491566,1000,1000,-,-,0
